KeyBucket,KeyStrokes,TotalTime,VOID,Stroke1,Stroke2,Stroke3
i,i,3.7051207130007,,0,0,0
o,o,0.289384574,,0,0,0
o,o,0.83661004400074,,0,0,0
i,i,0.46258844800013,,0,0,0
o,o,0.27716095100004,,0,0,0
d**,dlo,2.8845398040003,,2.8774000384146e-05,1.4432888869997,0
I,I,0.27692544599995,,0,0,0
o,o,0.77342742600013,,0,0,0
O,O,1.2391319130002,,0,0,0
A,A,0.17303346199969,,0,0,0
o,o,0.89225091999924,,0,0,0
A,A,0.23005579799974,,0,0,0
o,o,1.2232877189999,,0,0,0
O,O,0.86293378299979,,0,0,0
A,A,3.6242520470005,,0,0,0
d**,dwA,1.0830704419996,,0.0045218049999676,0.72626779599977,0
i,i,0.13655507899966,,0,0,0
A,A,0.99064807200011,,0,0,0
o,o,1.1585194250001,,0,0,0
i,i,0.32752350300052,,0,0,0
o,o,0.48477032000028,,0,0,0
o,o,0.48324470699936,,0,0,0
o,o,1.4232706970006,,0,0,0
O,O,0.84334022999974,,0,0,0
ci*,ci[,5.0328471350003,,0.70615797699975,6.2019000324653e-05,0
cw,cw,1.3941667170002,,0.0021600509999189,0,0
o,o,0.62853022499985,,0,0,0
i,i,0.3515723720011,,0,0,0
o,o,1.2659093409984,,0,0,0
ci*,ci",1.5394810099988,,1.0222034830003,8.0735999290482e-05,0
o,o,3.5391560280004,,0,0,0
ci*,ci",1.7741832090014,,0.44429226600005,8.1853999290615e-05,0
i,i,5.2665835700009,,0,0,0
i,i,0.75392047600144,,0,0,0
cw,cw,1.080797527,,0.0047251820014935,0,0
i,i,0.093633976999627,,0,0,0
i,i,1.5246221359994,,0,0,0
o,o,0.59307515700129,,0,0,0
A,A,0.42607989299904,,0,0,0
i,i,2.890531907,,0,0,0
i,i,0.5209277110007,,0,0,0
i,i,0.77956563800035,,0,0,0
a,a,1.0732731070002,,0,0,0
O,O,0.37327988099969,,0,0,0
A,A,0.40823237199947,,0,0,0
o,o,0.21533493099923,,0,0,0
A,A,0.18987750300039,,0,0,0
d**,ddO,1.4967484789995,,0.0045282289993338,1.1223159370002,0
O,O,1.1520945850007,,0,0,0
i,i,1.1620860799994,,0,0,0
O,O,1.7865764060007,,0,0,0
i,i,0.63022513299984,,0,0,0
i,i,0.39837217899913,,0,0,0
I,I,0.60825222700078,,0,0,0
o,o,0.36946040099974,,0,0,0
i,i,0.26021661800041,,0,0,0
A,A,0.93030967100094,,0,0,0
o,o,0.652826051999,,0,0,0
A,A,0.1847081299984,,0,0,0
o,o,1.2826131420006,,0,0,0
o,o,3.5082926060004,,0,0,0
A,A,0.72352638600023,,0,0,0
A,A,1.0373682609988,,0,0,0
O,O,0.72808674299995,,0,0,0
A,A,0.36585295899931,,0,0,0
i,i,0.41672786600066,,0,0,0
O,O,0.69384719200025,,0,0,0
o,o,0.64573716199993,,0,0,0
A,A,0.33980802599945,,0,0,0
o,o,0.75104608800029,,0,0,0
i,i,0.68124642700059,,0,0,0
i,i,0.78092027900129,,0,0,0
i,i,0.93653253000048,,0,0,0
i,i,0.94336300800023,,0,0,0
o,o,1.5432261789992,,0,0,0
A,A,0.26427551399865,,0,0,0
i,i,0.36348226700102,,0,0,0
A,A,0.86001246100022,,0,0,0
cw,cw,0.49752473499939,,0.0045282290011528,0,0
i,i,0.1232486379995,,0,0,0
o,o,1.2824036169986,,0,0,0
O,O,1.0430402120001,,0,0,0
o,o,2.829587563001,,0,0,0
o,o,0.84679513799892,,0,0,0
cw,cw,3.1300995289985,,0.0041119750003418,0,0
o,o,0.7466441309989,,0,0,0
d**,ddO,7.0176481950002,,0.013388853998549,5.0324895480007,0
cw,cw,0.2619316399996,,0.012686529998973,0,0
i,i,0.77981399300006,,0,0,0
o,o,3.0833435819986,,0,0,0
o,o,0.96413436500006,,0,0,0
A,A,0.38991244400131,,0,0,0
i,i,0.34258044600028,,0,0,0
i,i,0.46726194700022,,0,0,0
i,i,1.0637959240012,,0,0,0
i,i,0.44335024700013,,0,0,0
cw,cw,0.82297423099953,,0.0045701339986408,0,0
i,i,1.6626550569999,,0,0,0
i,i,0.37226355200073,,0,0,0
C,C,0.39618419100043,,0,0,0
i,i,2.0082107420003,,0,0,0
i,i,0.40205449200039,,0,0,0
i,i,0.62056273099915,,0,0,0
i,i,0.84068458500042,,0,0,0
o,o,0.4579761290006,,0,0,0
cw,cw,25.10706416,,0.0045030870005576,0,0
i,i,1.844465053,,0,0,0
A,A,0.52103163500033,,0,0,0
i,i,0.34054946200013,,0,0,0
i,i,1.0063930920005,,0,0,0
i,i,0.57309635799902,,0,0,0
A,A,0.14130708000084,,0,0,0
i,i,0.36576607700044,,0,0,0
A,A,0.19253147199925,,0,0,0
o,o,0.42323958799898,,0,0,0
i,i,0.33653219100052,,0,0,0
o,o,1.2901789080006,,0,0,0
A,A,0.26988656299909,,0,0,0
i,i,0.41345230899969,,0,0,0
o,o,0.84089773999949,,0,0,0
i,i,0.33451405599953,,0,0,0
O,O,1.4978723650001,,0,0,0
cw,cw,1.8092153189991,,0.004450287000509,0,0
cw,cw,0.48672447900026,,0.0041362799984199,0,0
i,i,0.50404707300004,,0,0,0
i,i,0.66328213199995,,0,0,0
A,A,0.90532800199981,,0,0,0
o,o,1.4400155650001,,0,0,0
O,O,0.60480402300163,,0,0,0
i,i,0.8731518429995,,0,0,0
i,i,0.99889940200046,,0,0,0
i,i,0.17693591300122,,0,0,0
cw,cw,3.4301360170011,,0.0019653340004879,0,0
cw,cw,1.4376035260011,,0.0060862489990541,0,0
cw,cw,0.64622605099976,,0.004092141000001,0,0
o,o,1.0625298409996,,0,0,0
i,i,0.42698671300059,,0,0,0
i,i,0.36040757299997,,0,0,0
i,i,0.44279458900019,,0,0,0
A,A,1.1230660320016,,0,0,0
